memset_erms,4,500,16777216,0,3,588124736
memset_erms,4,500,16777216,0,3,585087930
memset_erms,4,500,16777216,0,3,581631303
memset_erms,4,500,16777216,0,3,604164633
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,500,33554432,0,0,1217036082
memset_erms,4,500,33554432,0,0,1186130538
memset_erms,4,500,33554432,0,0,1218789082
memset_erms,4,500,33554432,0,0,1204869320
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,500,33554432,0,1,1192502196
memset_erms,4,500,33554432,0,1,1188613312
memset_erms,4,500,33554432,0,1,1216647716
memset_erms,4,500,33554432,0,1,1205337421
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,500,33554432,0,2,1218759958
memset_erms,4,500,33554432,0,2,1188917868
memset_erms,4,500,33554432,0,2,1215080871
memset_erms,4,500,33554432,0,2,1209053426
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,500,33554432,0,3,1197582211
memset_erms,4,500,33554432,0,3,1193064276
memset_erms,4,500,33554432,0,3,1222385759
memset_erms,4,500,33554432,0,3,1206965393
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,500,67108864,0,0,2450904934
memset_erms,4,500,67108864,0,0,2405259594
memset_erms,4,500,67108864,0,0,2396940176
memset_erms,4,500,67108864,0,0,2420480676
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,500,67108864,0,1,2439619374
memset_erms,4,500,67108864,0,1,2378617628
memset_erms,4,500,67108864,0,1,2423831526
memset_erms,4,500,67108864,0,1,2409735253
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,500,67108864,0,2,2427599989
memset_erms,4,500,67108864,0,2,2377879405
memset_erms,4,500,67108864,0,2,2400220978
memset_erms,4,500,67108864,0,2,2419410000
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,500,67108864,0,3,2441648655
memset_erms,4,500,67108864,0,3,2376965005
memset_erms,4,500,67108864,0,3,2406011510
memset_erms,4,500,67108864,0,3,2410086034
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,500,134217728,0,0,4865020993
memset_erms,4,500,134217728,0,0,4756244675
memset_erms,4,500,134217728,0,0,4799738430
memset_erms,4,500,134217728,0,0,4855870690
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,500,134217728,0,1,4809982033
memset_erms,4,500,134217728,0,1,4809295492
memset_erms,4,500,134217728,0,1,4849635211
memset_erms,4,500,134217728,0,1,4897270797
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,500,134217728,0,2,4881141625
memset_erms,4,500,134217728,0,2,4772492813
memset_erms,4,500,134217728,0,2,4794827887
memset_erms,4,500,134217728,0,2,4862628860
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,500,134217728,0,3,4878634262
memset_erms,4,500,134217728,0,3,4768503996
memset_erms,4,500,134217728,0,3,4796884781
memset_erms,4,500,134217728,0,3,4857852592
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,500,268435456,0,0,9758575336
memset_erms,4,500,268435456,0,0,9527991056
memset_erms,4,500,268435456,0,0,9595018483
memset_erms,4,500,268435456,0,0,9717453593
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,500,268435456,0,1,9768942430
memset_erms,4,500,268435456,0,1,9521760487
memset_erms,4,500,268435456,0,1,9740711593
memset_erms,4,500,268435456,0,1,9604122531
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,500,268435456,0,2,9696841370
memset_erms,4,500,268435456,0,2,9579746279
memset_erms,4,500,268435456,0,2,9667083176
memset_erms,4,500,268435456,0,2,9790790428
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,4,500,268435456,0,3,9776969423
memset_erms,4,500,268435456,0,3,9549671671
memset_erms,4,500,268435456,0,3,9731702145
memset_erms,4,500,268435456,0,3,9633103803
func,nthreads,iter,size,align,reuse,time_ns
memset_erms,8,16384,262144,0,0,151910562
memset_erms,8,16384,262144,0,0,161239288
memset_erms,8,16384,262144,0,0,154378746
memset_erms,8,16384,262144,0,0,160437547
memset_erms,8,16384,262144,0,0,162348267
memset_erms,8,16384,262144,0,0,168364319
